28/02/2018,19,19,2.5,95,1.9,838,1.7,0,0,0,Winter,No Holiday,Yes
28/02/2018,8,20,2.7,96,1.5,1479,2.1,0,0,0,Winter,No Holiday,Yes
28/02/2018,10,21,2.4,95,2.5,1349,1.6,0,9,0,Winter,No Holiday,Yes
28/02/2018,13,22,2.3,96,1.9,1207,1.7,0,0,0,Winter,No Holiday,Yes
28/02/2018,23,23,1.8,96,1.2,745,1.2,0,0,0,Winter,No Holiday,Yes
1/3/2018,71,0,2,96,1.3,1894,1.4,0,2,0,Spring,Holiday,Yes
1/3/2018,147,1,2.1,97,0.2,859,1.6,0,0,0,Spring,Holiday,Yes
1/3/2018,180,2,2,97,1,580,1.5,0,0,0,Spring,Holiday,Yes
1/3/2018,92,3,1.6,97,2.3,469,1.1,0,0.1,0,Spring,Holiday,Yes
1/3/2018,28,4,1.6,97,1.1,636,1.1,0,0,0,Spring,Holiday,Yes
1/3/2018,11,5,2.2,97,2.9,362,1.7,0,0,0,Spring,Holiday,Yes
1/3/2018,33,6,3,96,2.7,303,2.4,0,0.4,0,Spring,Holiday,Yes
1/3/2018,61,7,2.6,89,4.3,320,0.9,0,0,0,Spring,Holiday,Yes
1/3/2018,148,8,1.5,80,3.2,1246,-1.5,0.04,0,0,Spring,Holiday,Yes
1/3/2018,160,9,0.1,78,4.9,615,-3.2,0.09,0,0,Spring,Holiday,Yes
1/3/2018,191,10,0.1,53,5.3,1022,-8.3,1.12,0,0,Spring,Holiday,Yes
1/3/2018,239,11,0.8,52,4.6,1035,-7.9,2.2,0,0,Spring,Holiday,Yes
1/3/2018,311,12,0.5,46,4.7,1172,-9.8,2.49,0,0,Spring,Holiday,Yes
1/3/2018,358,13,1.4,37,4,1681,-11.7,2.95,0,0,Spring,Holiday,Yes
1/3/2018,375,14,1.2,36,6,1430,-12.2,2.86,0,0,Spring,Holiday,Yes
1/3/2018,458,15,1.6,35,4.5,1567,-12.2,2.54,0,0,Spring,Holiday,Yes
1/3/2018,460,16,1.4,33,4.8,1480,-13.1,1.98,0,0,Spring,Holiday,Yes
1/3/2018,423,17,0.4,37,5.2,1366,-12.6,1.23,0,0,Spring,Holiday,Yes
1/3/2018,317,18,-0.8,40,4.7,1429,-12.7,0.43,0,0,Spring,Holiday,Yes
1/3/2018,231,19,-1.7,45,3.3,1375,-12.1,0.01,0,0,Spring,Holiday,Yes
1/3/2018,246,20,-2.2,49,3.5,1325,-11.4,0,0,0,Spring,Holiday,Yes
1/3/2018,212,21,-3,50,3.7,1301,-11.9,0,0,0,Spring,Holiday,Yes
1/3/2018,190,22,-3.6,52,3.7,1277,-12,0,0,0,Spring,Holiday,Yes
1/3/2018,190,23,-4,52,3.4,1272,-12.4,0,0,0,Spring,Holiday,Yes
2/3/2018,156,0,-4.3,53,2.6,1334,-12.4,0,0,0,Spring,No Holiday,Yes
2/3/2018,108,1,-4.6,52,2.1,1372,-12.9,0,0,0,Spring,No Holiday,Yes
2/3/2018,71,2,-5.3,52,1.2,1434,-13.6,0,0,0,Spring,No Holiday,Yes
2/3/2018,49,3,-5.7,50,1.7,1559,-14.4,0,0,0,Spring,No Holiday,Yes
2/3/2018,47,4,-5.8,48,1.5,1552,-15,0,0,0,Spring,No Holiday,Yes
2/3/2018,65,5,-6.1,49,1,1621,-15.1,0,0,0,Spring,No Holiday,Yes
2/3/2018,135,6,-6.4,50,1.5,1593,-15.1,0,0,0,Spring,No Holiday,Yes
2/3/2018,401,7,-6.6,52,0.5,1555,-14.8,0,0,0,Spring,No Holiday,Yes
2/3/2018,617,8,-6.2,45,0.4,1600,-16.2,0.17,0,0,Spring,No Holiday,Yes
2/3/2018,343,9,-4.6,34,1.2,1583,-18.1,0.87,0,0,Spring,No Holiday,Yes
2/3/2018,274,10,-1.8,30,2.1,1608,-17.1,1.59,0,0,Spring,No Holiday,Yes
2/3/2018,343,11,0.1,30,1.8,1640,-15.4,2.19,0,0,Spring,No Holiday,Yes
2/3/2018,388,12,1.8,26,2.2,1556,-15.7,2.61,0,0,Spring,No Holiday,Yes
2/3/2018,375,13,2.3,22,3.1,1627,-17.2,2.83,0,0,Spring,No Holiday,Yes
2/3/2018,450,14,3.4,23,2.4,1545,-15.8,2.74,0,0,Spring,No Holiday,Yes
2/3/2018,463,15,4.3,22,1.3,1837,-15.6,2.48,0,0,Spring,No Holiday,Yes
2/3/2018,574,16,5.2,21,2.1,1721,-15.4,1.97,0,0,Spring,No Holiday,Yes
2/3/2018,631,17,4.3,21,2.5,1961,-16.1,1.13,0,0,Spring,No Holiday,Yes
2/3/2018,854,18,3.5,22,0.9,1961,-16.2,0.43,0,0,Spring,No Holiday,Yes
2/3/2018,568,19,2,26,2.3,1985,-15.5,0.02,0,0,Spring,No Holiday,Yes
2/3/2018,427,20,1.2,35,2.5,1977,-12.6,0,0,0,Spring,No Holiday,Yes
2/3/2018,396,21,1,34,1.4,1880,-13.1,0,0,0,Spring,No Holiday,Yes
2/3/2018,414,22,0.5,38,0.9,1907,-12.2,0,0,0,Spring,No Holiday,Yes
2/3/2018,284,23,0.3,38,0.2,1895,-12.3,0,0,0,Spring,No Holiday,Yes
3/3/2018,218,0,0.5,34,0.4,1889,-13.5,0,0,0,Spring,No Holiday,Yes
3/3/2018,229,1,0.6,36,0.4,1933,-12.7,0,0,0,Spring,No Holiday,Yes
3/3/2018,176,2,0.9,35,0.5,1856,-12.8,0,0,0,Spring,No Holiday,Yes
3/3/2018,149,3,0.8,38,0.8,1594,-11.9,0,0,0,Spring,No Holiday,Yes
3/3/2018,93,4,0.6,43,0.9,1599,-10.5,0,0,0,Spring,No Holiday,Yes
3/3/2018,55,5,0.8,39,1,1463,-11.6,0,0,0,Spring,No Holiday,Yes
3/3/2018,71,6,0.5,42,0.9,1543,-10.9,0,0,0,Spring,No Holiday,Yes
3/3/2018,159,7,0.1,43,1.4,1502,-11,0,0,0,Spring,No Holiday,Yes
3/3/2018,306,8,0.4,38,1.8,1564,-12.3,0.16,0,0,Spring,No Holiday,Yes
3/3/2018,329,9,2.2,30,1.5,1513,-13.6,0.81,0,0,Spring,No Holiday,Yes
3/3/2018,354,10,5.1,27,1.2,1563,-12.4,1.54,0,0,Spring,No Holiday,Yes
3/3/2018,431,11,8.1,21,2.1,1738,-12.9,2.15,0,0,Spring,No Holiday,Yes
